chain,spiritCode,name_en,brand_en,regionCode,countryCode,city_en,address1_en,latitude,longitude,propertySiteURL_en,rateDataAvailable,approxAnnualAverageRateLocal,approxAnnualAverageRateCurrency,approxAnnualAverageRateBasis,approxAnnualAverageRateSampleCount,currentOfficialLeadRateLocal,currentOfficialLeadRateFmt,currentOfficialLeadRatePlanCode,currentOfficialLeadRatePlanName,rateDataCaveat
Hilton,HILTON-NTGHHGI,Hilton Garden Inn Nantong Haohe Scenic Area,Hilton Garden Inn,MAINLAND_CN,CN,Nantong,"No.98 Zhong Xiu Zhong Road, Nantong, China",32.033011,120.862859,https://www.hilton.com/en/hotels/ntghhgi-hilton-garden-inn-nantong-haohe-scenic-area/,true,259,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,259,¥259,HPPAP4,Honors Discount Advance Purchase,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-NTGRDGI,Hilton Garden Inn Nantong Rudong,Hilton Garden Inn,MAINLAND_CN,CN,Nantong,"No. 39 Taishan Rd, Chengzhong Str.,, Nantong, China",32.34471,121.194,https://www.hilton.com/en/hotels/ntgrdgi-hilton-garden-inn-nantong-rudong/,true,272,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,272,¥272,HPPRP1,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-NTGECHT,Home2 Suites by Hilton Nantong Mixc Mall,Home2 Suites by Hilton,MAINLAND_CN,CN,Nantong,"99 North Street, Nantong, China",32.047277,120.859375,https://www.hilton.com/en/hotels/ntgecht-home2-suites-nantong-mixc-mall/,true,303,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,303,¥303,SHTH4A,Honors Discount Advance Purchase,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-RUGDTDI,DoubleTree by Hilton Rugao,DoubleTree by Hilton,MAINLAND_CN,CN,Nantong Rugao,"No. 1001 Haiyang South Road, Nantong Rugao, China",32.3693182514,120.573486841,https://www.hilton.com/en/hotels/rugdtdi-doubletree-rugao/,true,434,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,434,¥434,HPPAP4,Honors Discount Advance Purchase,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-NNYANHX,Hampton by Hilton Nanyang Jiangying Airport,Hampton by Hilton,MAINLAND_CN,CN,Nanyang,"No. 266 Changjiang North Road, Nanyang, China",32.986278,112.6095,https://www.hilton.com/en/hotels/nnyanhx-hampton-nanyang-jiangying-airport/,true,349,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,349,¥349,LHHH1P,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-NGBNCDI,DoubleTree by Hilton Hotel Ningbo - Chunxiao,DoubleTree by Hilton,MAINLAND_CN,CN,Ningbo,"689 Chunxiao Avenue, Beilun, Ningbo, China",29.761005,121.908221,https://www.hilton.com/en/hotels/ngbncdi-doubletree-ningbo-chunxiao/,true,422,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,422,¥422,HPPRP1,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-NGBNBDI,DoubleTree by Hilton Ningbo Beilun,DoubleTree by Hilton,MAINLAND_CN,CN,Ningbo,"No. 699 Huangshan Road, Ningbo, China",29.8990273935,121.836509837,https://www.hilton.com/en/hotels/ngbnbdi-doubletree-ningbo-beilun/,true,419,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,419,¥419,HPPRP1,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-NGBCSHX,Hampton by Hilton Cixi Guanhaiwei,Hampton by Hilton,MAINLAND_CN,CN,Ningbo,"No. 256 Shiji Avenue, Guanhaiwei, Ningbo, China",30.159723,121.422362,https://www.hilton.com/en/hotels/ngbcshx-hampton-cixi-guanhaiwei/,true,377,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,377,¥377,LHHH1P,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-NGBHXHX,Hampton by Hilton Ningbo Eastern New Town,Hampton by Hilton,MAINLAND_CN,CN,Ningbo,"14 South District, Hongtai Plaza,, Ningbo, China",29.862574,121.587683,https://www.hilton.com/en/hotels/ngbhxhx-hampton-ningbo-eastern-new-town/,true,543,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,543,¥543,LHHH1P,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
Hilton,HILTON-NGBNIHX,Hampton by Hilton Ningbo Ninghai Keji Avenue,Hampton by Hilton,MAINLAND_CN,CN,Ningbo,"No. 3 Keji Avenue, Taoyuan Street, Ningbo, China",29.341915,121.450793,https://www.hilton.com/en/hotels/ngbnihx-hampton-ningbo-ninghai-keji-avenue/,true,404,CNY,single official current lead-rate proxy; not a true 12-month sampled annual average,1,404,¥404,LHHH1P,Honors Discount,"Hilton extract does not expose the stay dates in this row; averages use the displayed local-currency rateAmountFmt, not the raw rateAmount value."
