spiritCode,name_en,name_zh,brand_en,brand_zh,brandKey,hotelStatus,propertyType,gpCategory,city_en,city_zh,province_en,province_zh,address1_en,address1_zh,zipcode,latitude,longitude,phone,propertySiteURL_en,propertySiteURL_zh,bookableDate,openDate,checkinTime,checkoutTime,nonSmoking
FS-beijing,Four Seasons Hotel Beijing,北京四季酒店,Four Seasons,四季酒店,four-seasons,FULLY_BOOKABLE,Hotel,Luxury,Beijing,北京,Beijing,北京,"Four Seasons Hotel Beijing 48 Liang Ma Qiao Road 100125 Chaoyang District, Beijing China",,,,,+86 (10) 5695 8888,https://www.fourseasons.com/beijing/,https://www.fourseasons.com/beijing/zh/,,,,,
FS-dalian,Four Seasons Hotel Dalian,大连四季酒店,Four Seasons,四季酒店,four-seasons,FULLY_BOOKABLE,Hotel,Luxury,Dalian,大连,Liaoning,辽宁,"45 Zhuyu Street, Zhongshan District, Dalian, Liaoning, 116007, CN",,,,,+86 (411) 3994 8888,https://www.fourseasons.com/dalian/,https://www.fourseasons.com/dalian/zh/,,,,,
FS-guangzhou,Four Seasons Hotel Guangzhou,广州四季酒店,Four Seasons,四季酒店,four-seasons,FULLY_BOOKABLE,Hotel,Luxury,Guangzhou,广州,Guangdong,广东,"5 Zhujiang West Road, Zhujiang New Town, Tianhe District, Guangzhou, 510623, CN",,,,,+86 20 8883 3888,https://www.fourseasons.com/guangzhou/,https://www.fourseasons.com/guangzhou/zh/,,,,,
FS-hangzhoucentre,Four Seasons Hotel Hangzhou at Hangzhou Centre,杭州中心四季酒店,Four Seasons,四季酒店,four-seasons,FULLY_BOOKABLE,Hotel,Luxury,Hangzhou,杭州,Zhejiang,浙江,"493 Zhongshan North Road, Gongshu District, Hangzhou, 310005, CN",,,,,+86 (571) 8681 8888,https://www.fourseasons.com/hangzhoucentre/,https://www.fourseasons.com/hangzhoucentre/zh/,,,,,
FS-hangzhou,Four Seasons Hotel Hangzhou at West Lake,杭州西子湖四季酒店,Four Seasons,四季酒店,four-seasons,FULLY_BOOKABLE,Hotel,Luxury,Hangzhou,杭州,Zhejiang,浙江,"5 Lingyin Road, Xihu District Hangzhou, Zhejiang Province, China 310013",,,,,+1 86 (571) 8829-8888,https://www.fourseasons.com/hangzhou/,https://www.fourseasons.com/hangzhou/zh/,,,,,
FS-shenzhen,Four Seasons Hotel Shenzhen,深圳四季酒店,Four Seasons,四季酒店,four-seasons,FULLY_BOOKABLE,Hotel,Luxury,Shenzhen,深圳,Guangdong,广东,"138 Fuhua Third Road, Futian District, Shenzhen, Guangdong, 518048 , CN",,,,,+86 755 8826 8888,https://www.fourseasons.com/shenzhen/,https://www.fourseasons.com/shenzhen/zh/,,,,,
FS-suzhou,Four Seasons Hotel Suzhou,苏州四季酒店,Four Seasons,四季酒店,four-seasons,FULLY_BOOKABLE,Hotel,Luxury,Suzhou,苏州,Jiangsu,江苏,"88 Four Seasons Boulevard, Suzhou, JIANGSU 215000",,,,,+86 (512) 6281 8888,https://www.fourseasons.com/suzhou/,https://www.fourseasons.com/suzhou/zh/,,,,,
FS-tianjin,Four Seasons Hotel Tianjin,天津四季酒店,Four Seasons,四季酒店,four-seasons,FULLY_BOOKABLE,Hotel,Luxury,Tianjin,天津,Tianjin,天津,"Four Seasons Hotel Tianjin 138 Chifeng Road Heping District, Tianjin, 300041 China",,,,,+1 86 (22) 2716 6688,https://www.fourseasons.com/tianjin/,https://www.fourseasons.com/tianjin/zh/,,,,,
FS-macao,Four Seasons Hotel Macao,澳门四季酒店,Four Seasons,四季酒店,four-seasons,FULLY_BOOKABLE,Hotel,Luxury,Macau,澳门,Macau,澳门,"Estrada da Baía de N. Senhora da Esperança, S/N, Taipa, Macau, CN",,,,,+1 (853) 2881-8888,https://www.fourseasons.com/macao/,https://www.fourseasons.com/macao/zh/,,,,,
FS-grandsuitesmacau,The Grand Suites at Four Seasons,澳门四季名荟,Four Seasons,四季酒店,four-seasons,FULLY_BOOKABLE,Hotel,Luxury,Macau,澳门,Macau,澳门,"Estrada da Baía de N. Senhora da Esperança, S/N, Taipa, Macau, CN",,,,,+1 (853) 2881-8888,https://www.fourseasons.com/grandsuitesmacau/,https://www.fourseasons.com/grandsuitesmacau/zh/,,,,,
