chain,spiritCode,hotelCode,name_en,brand_en,regionCode,countryCode,city_en,rate_available,rate_source,rate_currency,rate_amount_local,rate_amount_fmt,rate_amount_source_value,rate_plan_code,rate_plan_name,rate_plan_desc,points_rate,propertySiteURL_en
Hilton,HILTON-TSNFWGI,TSNFWGI,Hilton Garden Inn Tianjin Five Great Avenues,Hilton Garden Inn,MAINLAND_CN,CN,Tianjin,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,380,¥380,56.01,HPPRP1,Honors Discount,Change or cancel up to 1 day before arrival. Hilton Honors Membership Required.,15000,https://www.hilton.com/en/hotels/tsnfwgi-hilton-garden-inn-tianjin-five-great-avenues/
Hilton,HILTON-TSNYSGI,TSNYSGI,Hilton Garden Inn Tianjin Huayuan,Hilton Garden Inn,MAINLAND_CN,CN,Tianjin,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,346,¥346,50.99,HPPAP4,Honors Discount Advance Purchase,Pre-payment required and non-refundable. Hilton Honors Membership Required.,14000,https://www.hilton.com/en/hotels/tsnysgi-hilton-garden-inn-tianjin-huayuan/
Hilton,HILTON-TSNNNGI,TSNNNGI,Hilton Garden Inn Tianjin Jinnan,Hilton Garden Inn,MAINLAND_CN,CN,Tianjin,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,272,¥272,40.14,HPPAP4,Honors Discount Advance Purchase,Pre-payment required and non-refundable. Hilton Honors Membership Required.,13000,https://www.hilton.com/en/hotels/tsnnngi-hilton-garden-inn-tianjin-jinnan/
Hilton,HILTON-TSNJIGI,TSNJIGI,Hilton Garden Inn Tianjin Railway Station,Hilton Garden Inn,MAINLAND_CN,CN,Tianjin,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,370,¥370,54.48,HPPRP1,Honors Discount,Change or cancel up to 1 day before arrival. Hilton Honors Membership Required.,16000,https://www.hilton.com/en/hotels/tsnjigi-hilton-garden-inn-tianjin-railway-station/
Hilton,HILTON-TSNTLGI,TSNTLGI,Hilton Garden Inn Tianjin Tuanbo Lake,Hilton Garden Inn,MAINLAND_CN,CN,Tianjin,false,hilton_extract_no_lowest_rate,CNY,,,,,,,,https://www.hilton.com/en/hotels/tsntlgi-hilton-garden-inn-tianjin-tuanbo-lake/
Hilton,HILTON-TSNECHI,TSNECHI,Hilton Tianjin Eco-City,Hilton Hotels & Resorts,MAINLAND_CN,CN,Tianjin,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,488,¥488,71.83,HPPRP1,Honors Discount,Change or cancel up to 1 day before arrival. Hilton Honors Membership Required.,19000,https://www.hilton.com/en/hotels/tsnechi-hilton-tianjin-eco-city/
Hilton,HILTON-SHEHHHX,SHEHHHX,Hampton by Hilton Tieling New City,Hampton by Hilton,MAINLAND_CN,CN,Tieling,false,hilton_extract_no_lowest_rate,CNY,,,,,,,,https://www.hilton.com/en/hotels/shehhhx-hampton-tieling-new-city/
Hilton,HILTON-TGOXMHX,TGOXMHX,Hampton by Hilton Tongliao,Hampton by Hilton,MAINLAND_CN,CN,Tongliao,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,390,¥390,57.52,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,14000,https://www.hilton.com/en/hotels/tgoxmhx-hampton-tongliao/
Hilton,HILTON-TENTOHT,TENTOHT,Home2 Suites by Hilton Tongren Ancient City,Home2 Suites by Hilton,MAINLAND_CN,CN,Tongren,false,hilton_extract_no_lowest_rate,CNY,,,,,,,,https://www.hilton.com/en/hotels/tentoht-home2-suites-tongren-ancient-city/
Hilton,HILTON-HGHTNHX,HGHTNHX,Hampton by Hilton Tongxiang Wuzhen,Hampton by Hilton,MAINLAND_CN,CN,Tongxiang,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,385,¥385,56.8,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,15000,https://www.hilton.com/en/hotels/hghtnhx-hampton-tongxiang-wuzhen-xizha-scenic-area/
Hilton,HILTON-TLQCNHX,TLQCNHX,Hampton by Hilton Turpan,Hampton by Hilton,MAINLAND_CN,CN,Turpan,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,432,¥432,63.63,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,16000,https://www.hilton.com/en/hotels/tlqcnhx-hampton-turpan/
Hilton,HILTON-URCCICI,URCCICI,Conrad Urumqi,Conrad Hotels & Resorts,MAINLAND_CN,CN,Urumqi,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,1057,"¥1,057",155.58,HPPAP4,Honors Discount Advance Purchase,Pre-payment required and non-refundable. Hilton Honors Membership Required.,60000,https://www.hilton.com/en/hotels/urccici-conrad-urumqi/
Hilton,HILTON-URCUSHX,URCUSHX,Hampton by Hilton Urumqi Exhibition Center,Hampton by Hilton,MAINLAND_CN,CN,Urumqi,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,423,¥423,62.36,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,16000,https://www.hilton.com/en/hotels/urcushx-hampton-urumqi-exhibition-center/
Hilton,HILTON-URCUCHX,URCUCHX,Hampton by Hilton Urumqi High-speed Railway Station,Hampton by Hilton,MAINLAND_CN,CN,Urumqi,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,412,¥412,60.77,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,16000,https://www.hilton.com/en/hotels/urcuchx-hampton-urumqi-high-speed-railway-station/
Hilton,HILTON-URCQIHX,URCQIHX,Hampton by Hilton Urumqi Innovation Plaza,Hampton by Hilton,MAINLAND_CN,CN,Urumqi,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,458,¥458,67.43,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,17000,https://www.hilton.com/en/hotels/urcqihx-hampton-urumqi-innovation-plaza/
Hilton,HILTON-URCURHX,URCURHX,Hampton by Hilton Urumqi International Airport,Hampton by Hilton,MAINLAND_CN,CN,Urumqi,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,451,¥451,66.48,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,17000,https://www.hilton.com/en/hotels/urcurhx-hampton-urumqi-international-airport/
Hilton,HILTON-URCIDHX,URCIDHX,Hampton by Hilton Urumqi Midong,Hampton by Hilton,MAINLAND_CN,CN,Urumqi,false,hilton_extract_no_lowest_rate,CNY,,,,,,,,https://www.hilton.com/en/hotels/urcidhx-hampton-urumqi-midong/
Hilton,HILTON-URCBJGI,URCBJGI,Hilton Garden Inn Urumqi Beijing South Road,Hilton Garden Inn,MAINLAND_CN,CN,Urumqi,false,hilton_extract_no_lowest_rate,CNY,,,,,,,,https://www.hilton.com/en/hotels/urcbjgi-hilton-garden-inn-urumqi-beijing-south-road/
Hilton,HILTON-URCEXGI,URCEXGI,Hilton Garden Inn Urumqi Exhibition Center,Hilton Garden Inn,MAINLAND_CN,CN,Urumqi,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,370,¥370,54.48,HPPRP1,Honors Discount,Change or cancel up to 1 day before arrival. Hilton Honors Membership Required.,15000,https://www.hilton.com/en/hotels/urcexgi-hilton-garden-inn-urumqi-exhibition-center/
Hilton,HILTON-URCRSGI,URCRSGI,Hilton Garden Inn Urumqi Railway Station,Hilton Garden Inn,MAINLAND_CN,CN,Urumqi,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,441,¥441,64.99,HPPRP1,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Hilton Honors Membership Required.,21000,https://www.hilton.com/en/hotels/urcrsgi-hilton-garden-inn-urumqi-railway-station/
Hilton,HILTON-URCHHHI,URCHHHI,Hilton Urumqi,Hilton Hotels & Resorts,MAINLAND_CN,CN,Urumqi,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,716,¥716,105.47,HPPRP1,Honors Discount,Change or cancel up to 1 day before arrival. Hilton Honors Membership Required.,28000,https://www.hilton.com/en/hotels/urchhhi-hilton-urumqi/
Hilton,HILTON-WXJXADI,WXJXADI,DoubleTree Resort by Hilton Hainan – Xinglong Lakeside,DoubleTree by Hilton,MAINLAND_CN,CN,Wanning,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,393,¥393,57.96,LV0,Best Available Rate,,15000,https://www.hilton.com/en/hotels/wxjxadi-doubletree-resort-hainan-xinglong-lakeside/
Hilton,HILTON-WEFAXHX,WEFAXHX,Hampton by Hilton Anqiu,Hampton by Hilton,MAINLAND_CN,CN,Weifang,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,323,¥323,47.6,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,12000,https://www.hilton.com/en/hotels/wefaxhx-hampton-anqiu/
Hilton,HILTON-WEFERHX,WEFERHX,Hampton by Hilton Qingzhou,Hampton by Hilton,MAINLAND_CN,CN,Weifang,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,395,¥395,58.23,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,15000,https://www.hilton.com/en/hotels/weferhx-hampton-qingzhou/
Hilton,HILTON-WEFTAHX,WEFTAHX,Hampton by Hilton Weifang City Center,Hampton by Hilton,MAINLAND_CN,CN,Weifang,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,325,¥325,47.92,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,12000,https://www.hilton.com/en/hotels/weftahx-hampton-weifang-city-center/
Hilton,HILTON-WEFFAHX,WEFFAHX,Hampton by Hilton Weifang Weicheng,Hampton by Hilton,MAINLAND_CN,CN,Weifang,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,405,¥405,59.66,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,15000,https://www.hilton.com/en/hotels/weffahx-hampton-weifang-weicheng/
Hilton,HILTON-WEHWHDI,WEHWHDI,DoubleTree by Hilton Weihai,DoubleTree by Hilton,MAINLAND_CN,CN,Weihai,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,444,¥444,65.37,HPPAP4,Honors Discount Advance Purchase,Pre-payment required and non-refundable. Hilton Honors Membership Required.,18000,https://www.hilton.com/en/hotels/wehwhdi-doubletree-weihai/
Hilton,HILTON-WEHAIHX,WEHAIHX,Hampton by Hilton Rongcheng,Hampton by Hilton,MAINLAND_CN,CN,Weihai,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,405,¥405,59.66,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,15000,https://www.hilton.com/en/hotels/wehaihx-hampton-rongcheng/
Hilton,HILTON-WEHCTHX,WEHCTHX,Hampton by Hilton Torch Eighth Street Weihai International Bathing Beach,Hampton by Hilton,MAINLAND_CN,CN,Weihai,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,378,¥378,55.69,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,14000,https://www.hilton.com/en/hotels/wehcthx-hampton-torch-eighth-street-weihai-international-bathing-beach/
Hilton,HILTON-HAKWEHI,HAKWEHI,Hilton Wenchang,Hilton Hotels & Resorts,MAINLAND_CN,CN,Wenchang City,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,442,¥442,65.14,HPPRP1,Honors Discount,Change or cancel up to 1 day before arrival. Hilton Honors Membership Required.,17000,https://www.hilton.com/en/hotels/hakwehi-hilton-wenchang/
Hilton,HILTON-WNZCNDI,WNZCNDI,DoubleTree by Hilton Cangnan,DoubleTree by Hilton,MAINLAND_CN,CN,Wenzhou,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,442,¥442,65.17,HPPRP1,Honors Discount,Change or cancel up to 1 day before arrival. Hilton Honors Membership Required.,16000,https://www.hilton.com/en/hotels/wnzcndi-doubletree-cangnan/
Hilton,HILTON-WNZOKHX,WNZOKHX,Hampton by Hilton Wenzhou Yueqing,Hampton by Hilton,MAINLAND_CN,CN,Wenzhou,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,388,¥388,57.12,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,15000,https://www.hilton.com/en/hotels/wnzokhx-hampton-wenzhou-yueqing/
Hilton,HILTON-WNZWHHI,WNZWHHI,Hilton Wenzhou,Hilton Hotels & Resorts,MAINLAND_CN,CN,Wenzhou,false,hilton_extract_no_lowest_rate,CNY,,,,,,,,https://www.hilton.com/en/hotels/wnzwhhi-hilton-wenzhou/
Hilton,HILTON-WNZCCHI,WNZCCHI,Hilton Wenzhou City Center,Hilton Hotels & Resorts,MAINLAND_CN,CN,Wenzhou,false,hilton_extract_no_lowest_rate,CNY,,,,,,,,https://www.hilton.com/en/hotels/wnzcchi-hilton-wenzhou-city-center/
Hilton,HILTON-WNZOUHT,WNZOUHT,Home2 Suites by Hilton Wenzhou Wencheng,Home2 Suites by Hilton,MAINLAND_CN,CN,Wenzhou,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,377,¥377,55.61,SHTH4A,Honors Discount Advance Purchase,Free breakfast. No cancellations. Pay now. Hilton Honors Membership Required.,16000,https://www.hilton.com/en/hotels/wnzouht-home2-suites-wenzhou-wencheng/
Hilton,HILTON-WNZINHT,WNZINHT,Home2 Suites by Hilton Wenzhou Yongjia,Home2 Suites by Hilton,MAINLAND_CN,CN,Wenzhou,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,351,¥351,51.79,SHTH4A,Honors Discount Advance Purchase,Free breakfast. No cancellations. Pay now. Hilton Honors Membership Required.,15000,https://www.hilton.com/en/hotels/wnzinht-home2-suites-wenzhou-yongjia/
Hilton,HILTON-WUHCEHX,WUHCEHX,Hampton by Hilton Wuhan Baishazhou Avenue,Hampton by Hilton,MAINLAND_CN,CN,Wuhan,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,460,¥460,67.75,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,17000,https://www.hilton.com/en/hotels/wuhcehx-hampton-wuhan-baishazhou-avenue/
Hilton,HILTON-WUHWCHX,WUHWCHX,Hampton by Hilton Wuhan East Lake Chuhe Hanjie,Hampton by Hilton,MAINLAND_CN,CN,Wuhan,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,462,¥462,68.07,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,17000,https://www.hilton.com/en/hotels/wuhwchx-hampton-wuhan-east-lake-chuhe-hanjie/
Hilton,HILTON-WUHUHHX,WUHUHHX,Hampton by Hilton Wuhan East Lake Optics Valley,Hampton by Hilton,MAINLAND_CN,CN,Wuhan,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,419,¥419,61.72,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,16000,https://www.hilton.com/en/hotels/wuhuhhx-hampton-wuhan-east-lake-optics-valley/
Hilton,HILTON-WUHGUHX,WUHGUHX,Hampton by Hilton Wuhan Guanggu First Road,Hampton by Hilton,MAINLAND_CN,CN,Wuhan,true,hilton_official_hotel_summary_extract_leadRate.lowest,CNY,413,¥413,60.93,LHHH1P,Honors Discount,Change or cancel by 6pm local hotel time day of arrival. Free breakfast. Hilton Honors Membership Required.,16000,https://www.hilton.com/en/hotels/wuhguhx-hampton-wuhan-guanggu-first-road/
